41484;SpatialFrequencyResponse*
41486;FocalPlaneXResolution*
41487;FocalPlaneYResolution*
41488;FocalPlaneResolutionUnit*
41492;SubjectLocation*
41493;ExposureIndex*
41495;SensingMethod*
41728;FileSource*
41729;SceneType*
20624;LuminanceTable*
20625;ChrominanceTable*
41730;CFAPattern*
41985;CustomRendered*
41986;ExposureMode*
41987;WhiteBalance*
41988;DigitalZoomRatio*
41989;FocalLengthIn35mmFilm*
41990;SceneCaptureType*
41991;GainControl*
41992;Contrast*
41993;Saturation*
41994;Sharpness*
41995;DeviceSettingDescription*
41996;SubjectDistanceRange*
42016;ImageUniqueID*
